"endTime","artistName","trackName","msPlayed"
"2022-05-03 00:17","Tyler, The Creator","Glitter",12714
"2022-05-03 00:17","Tyler, The Creator","Enjoy Right Now, Today",6485
"2022-05-03 00:17","Tyler, The Creator","Droppin' Seeds (feat. Lil' Wayne)",60000
"2022-05-03 04:26","tana","off the leash! (feat. yvngxchris and Luisss)",192114
"2022-05-03 04:30","Denzel Curry","Zatoichi [Feat. slowthai]",210430
"2022-05-03 04:32","BROCKHAMPTON","BOY BYE",142181
"2022-05-04 03:56","tana","off the leash! (feat. yvngxchris and Luisss)",3520
"2022-05-04 03:56","DaBaby","Suge",111568
"2022-05-04 04:00","Future","KEEP IT BURNIN (feat. Kanye West)",207213
"2022-05-04 04:01","Future","I'M ON ONE (feat. Drake)",83102
"2022-05-04 05:13","Future","KEEP IT BURNIN (feat. Kanye West)",207213
"2022-05-04 05:15","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-04 05:19","Pusha T","Neck & Wrist (feat. JAY-Z & Pharrell Williams)",209314
"2022-05-04 05:22","Pusha T","Dreamin Of The Past (feat. Kanye West)",173633
"2022-05-04 05:25","Juice WRLD","Used To",176443
"2022-05-04 05:30","Childish Gambino","Redbone",326933
"2022-05-04 05:36","BROCKHAMPTON","FACE",10586
"2022-05-04 05:36","KIDS SEE GHOSTS","Reborn",324674
"2022-05-04 05:47","JID","Bruuuh (with Denzel Curry) - Remix",1269
"2022-05-04 05:50","tana","off the leash! (feat. yvngxchris and Luisss)",192114
"2022-05-04 05:54","KIDS SEE GHOSTS","Freeee (Ghost Town Pt. 2)",206605
"2022-05-04 05:56","Vince Staples","ARE YOU WITH THAT?",138410
"2022-05-04 05:59","SAINt JHN","I Heard You Got Too Litt Last Night",197885
"2022-05-04 06:03","Lil Uzi Vert","Chrome Heart Tags",212821
"2022-05-04 06:05","BROCKHAMPTON","1999 WILDFIRE",109194
"2022-05-04 06:09","Young Thug","Wyclef Jean",236293
"2022-05-04 06:11","Buckshot","Over The Hills",148656
"2022-05-04 06:16","Kanye West","Blood On The Leaves",286892
"2022-05-04 06:18","CJ","Whoopty",123262
"2022-05-04 06:30","Kendrick Lamar","Sing About Me, I'm Dying Of Thirst",723573
"2022-05-04 06:35","Travis Scott","STARGAZING",270714
"2022-05-04 06:38","BROCKHAMPTON","J'OUVERT",234320
"2022-05-04 13:50","Saweetie","ICY GRL (feat. Kehlani) - Bae Mix",26822
"2022-05-04 16:01","Future","I'M ON ONE (feat. Drake)",28416
"2022-05-04 16:01","tana","off the leash! (feat. yvngxchris and Luisss)",1322
"2022-05-04 16:21","tana","off the leash! (feat. yvngxchris and Luisss)",505284
"2022-05-04 16:25","Future","KEEP IT BURNIN (feat. Kanye West)",207213
"2022-05-04 16:36","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",132334
"2022-05-04 16:39","Future","THE WAY THINGS GOING",136050
"2022-05-05 00:26","Future","I'M ON ONE (feat. Drake)",204660
"2022-05-05 00:26","tana","off the leash! (feat. yvngxchris and Luisss)",2240
"2022-05-05 00:29","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133333
"2022-05-05 00:31","Buckshot","Barn Owls",167216
"2022-05-05 00:34","Denzel Curry","Troubles [Feat. T-Pain]",160000
"2022-05-05 00:37","Bladee","Thee 9 Is Up",184026
"2022-05-05 00:39","Denzel Curry","The Smell Of Death",80826
"2022-05-05 00:41","Denzel Curry","X-Wing",176000
"2022-05-05 00:45","Denzel Curry","Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",205136
"2022-05-05 02:32","Bladee","White Meadow",2190
"2022-05-05 02:32","Bladee","Chaos Follows",2570
"2022-05-05 02:32","Denzel Curry","Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",53220
"2022-05-05 02:35","Bladee","The Flag is Raised",179430
"2022-05-05 02:37","Pop Smoke","Got It On Me",104225
"2022-05-05 02:37","Playboi Carti","New Choppa",768
"2022-05-05 02:38","Tyler, The Creator","GONE, GONE / THANK YOU",1642
"2022-05-05 02:41","slowthai","Doorman",184201
"2022-05-05 02:44","A$AP Rocky","Praise The Lord (Da Shine) (feat. Skepta)",193026
"2022-05-05 06:27","Future","KEEP IT BURNIN (feat. Kanye West)",1141
"2022-05-05 06:27","tana","off the leash! (feat. yvngxchris and Luisss)",2677
"2022-05-05 06:31","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-05 06:34","tana","off the leash! (feat. yvngxchris and Luisss)",192114
"2022-05-05 06:38","Future","VOODOO (feat. Kodak Black)",211133
"2022-05-05 06:42","Tyler, The Creator","Yonkers",249333
"2022-05-05 06:47","BROCKHAMPTON","HEAT",272378
"2022-05-05 06:49","Buckshot","Keepe Out",152843
"2022-05-05 06:51","Bladee","Girls just want to have fun",134400
"2022-05-05 06:55","Lil Uzi Vert","Futsal Shuffle 2020",198912
"2022-05-05 06:58","Young Thug","Scoliosis (feat. Gunna & Duke)",220986
"2022-05-05 07:03","Kevin Abstract","SLUGGER (feat. $NOT & slowthai)",256346
"2022-05-05 07:05","JACKBOYS","OUT WEST (feat. Young Thug)",157712
"2022-05-05 18:48","MF DOOM","Rapp Snitch Knishes feat. Mr. Fantastik",172893
"2022-05-05 18:49","Travis Scott","5% TINT",124972
"2022-05-05 18:50","MF DOOM","Hoe Cakes",75456
"2022-05-05 19:14","Denzel Curry","SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D]",5950
